STRLocus	Chrom	Start	End	MotifLen	NotCountedBase	AsHaplotype
TPOX	chr2	1489653	1489684	4	0	No
D2S1338	chr2	218014859	218014950	4	0	No
D3S1358	chr3	45540739	45540802	4	0	No
FGA	chr4	154587736	154587823	4	0	No
D5S818	chr5	123775556	123775599	4	0	No
CSF1PO	chr5	150076324	150076375	4	0	No
D6S1043	chr6	91740225	91740272	4	0	No
D7S820	chr7	84160226	84160277	4	0	No
D8S1179	chr8	124894865	124894916	4	0	No
TH01	chr11	2171088	2171115	4	0	No
vWA	chr12	5983977	5984044	4	0	No
D12S391	chr12	12297020	12297095	4	0	No
D13S317	chr13	82148025	82148068	4	0	No
D16S539	chr16	86352702	86352745	4	0	No
D18S51	chr18	63281667	63281738	4	0	No
D19S433	chr19	29926235	29926298	4	8	No
PentaD	chr21	43636205	43636269	5	0	No
PentaE	chr15	96831015	96831039	5	0	No
D1S1656	chr1	230769616	230769683	4	0	No
D2S441	chr2	68011947	68011994	4	0	No
D10S1248	chr10	129294244	129294295	4	0	No
D21S11	chr21	19181973	19182099	4	11	No
D22S1045	chr22	37140287	37140337	3	0	No
D1S1677	chr1	163590026	163590085	4	0	No
D2S1776	chr2	168788893	168788936	4	0	No
D4S2408	chr4	31302798	31302833	4	0	No
D6S474	chr6	112557951	112558018	4	0	No
SE33	chr6	88277144	88277245	4	0	No
D9S1122	chr9	77073826	77073873	4	0	No
D12ATA63	chr12	107928590	107928628	3	0	No
D14S1434	chr14	94842054	94842105	4	0	No
D17S1301	chr17	74684855	74684902	4	0	No
D20S482	chr20	4525692	4525747	4	0	No
D5S2800	chr5	59403132	59403199	4	0	No
D1GATA113	chr1	7382711	7382974	4	0	No
D1S1627	chr1	106420972	106421250	3	0	No
D3S1744	chr3	147374652	147374968	4	5	No
D3S3045	chr3	107271067	107271324	4	2	No
D3S4529	chr3	85803436	85803557	4	0	No
D4S2366	chr4	6482994	6483292	4	3	No
D8S1132	chr8	106316572	106316944	4	3	No
D9S925	chr9	18288988	18289299	4	0	No
D10S1435	chr10	2201038	2201281	4	0	No
D11S2368	chr11	19259481	19259834	4	0	No
D12ATA63	chr12	107928575	107928673	3	0	No
D13S325	chr13	42599164	42599492	4	3	No
D14S608	chr14	28380143	28380450	4	12	No
D15S659	chr15	46081811	46082066	4	0	No
D18S853	chr18	3990509	3990784	3	0	No
D19S253	chr19	15617364	15617651	4	0	No
D22GATA198B05	chr22	17169711	17169982	4	0	No
D6S477	chr6	6140294	6140565	4	0	No
DYS393	chrY	3263111	3263158	4	0	Yes
DYS456	chrY	4402919	4402978	4	0	Yes
DYS570	chrY	6993190	6993257	4	0	Yes
DYS576	chrY	7185318	7185385	4	0	Yes
DYS522	chrY	7547585	7547624	4	0	Yes
DYS458	chrY	7999839	7999902	4	0	Yes
DYS481	chrY	8558337	8558402	3	0	Yes
DYS19	chrY	9684380	9684443	4	4	Yes
DYS391	chrY	11982089	11982132	4	0	Yes
DYS437	chrY	12346267	12346326	4	0	Yes
DYS439	chrY	12403517	12403564	4	0	Yes
DYS438	chrY	12825889	12825948	5	0	Yes
DYS390	chrY	15163067	15163162	4	0	Yes
DYS643	chrY	15314132	15314186	5	0	Yes
DYS533	chrY	16281349	16281396	4	0	Yes
YGATAH4	chrY	16631673	16631720	4	0	Yes
DYS460	chrY	18888956	18888995	4	0	Yes
DYS549	chrY	19358338	19358389	4	0	Yes
DYS392	chrY	20471987	20472025	3	0	Yes
DYS385a	chrY	18680632	18680687	4	0	Yes
DYS385b	chrY	18639713	18639756	4	0	Yes
DYS635	chrY	12258860	12258951	4	0	Yes
DYS505	chrY	3772790	3772837	4	0	Yes
DYS612	chrY	13640728	13640835	3	0	Yes
DYS389I	chrY	12500439	12500499	4	0	Yes
DYS389II	chrY	12500439	12500618	4	48	Yes
DYS448	chrY	22218904	22219102	6	42	Yes
DYF387S1a	chrY	23785329	23785521	4	0	Yes
DYF387S1b	chrY	25884560	25884756	4	0	Yes
DYS522	chrY	7547377	7547646	4	0	Yes
DYS505	chrY	3772729	3772861	4	0	Yes
DXS10074	chrX	67757345	67757400	4	0	No
DXS10103	chrX	134284959	134285038	4	4	No
DXS10135	chrX	9338302	9338400	4	3	No
DXS7132	chrX	65435647	65435702	4	0	No
DXS7423	chrX	150542522	150542589	4	8	No
DXS8378	chrX	9402262	9402301	4	0	No
HPRTB	chrX	134481509	134481560	4	0	No
DXS10079	chrX	67496081	67496164	4	0	No
DXS10148	chrX	9270938	9271033	4	8	No
